               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.053436,            0.064124,                   0,             0.65659,             0.59677,             0.63917,             0.28921,            0.048009,            0.014002,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.052746,            0.055416,                   0,             0.68454,             0.62903,             0.67123,             0.28183,            0.048305,            0.014141,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.050977,            0.059762,                   0,             0.74797,             0.67021,             0.72971,              0.3044,            0.048993,            0.013674,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.055894,            0.059816,                   0,             0.74363,             0.64516,             0.68625,             0.29699,            0.048844,            0.013281,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.051938,             0.06043,                   0,             0.76009,             0.66129,             0.71544,             0.31282,             0.04868,            0.013674,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.054616,            0.069496,                   0,             0.71932,             0.70277,             0.73429,             0.31609,            0.048227,            0.013533,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.051738,            0.057713,                   0,             0.81358,             0.66129,             0.72147,             0.29432,            0.050573,            0.014137,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.053794,            0.069882,                   0,             0.73999,             0.69355,             0.68584,             0.27127,            0.050687,            0.014587,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.054226,            0.065281,                   0,             0.70264,             0.72581,              0.6873,             0.24936,            0.049674,            0.014488,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.053922,             0.06523,                   0,             0.62004,             0.67742,             0.66446,             0.23968,            0.049396,            0.014254,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.053325,             0.06576,                   0,             0.63961,             0.62977,             0.63507,              0.2535,            0.049706,              0.0144,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.051903,            0.057496,                   0,             0.70803,             0.64516,             0.66531,             0.25969,            0.050317,            0.014372,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.051657,            0.065158,                   0,             0.63491,             0.64513,             0.60665,             0.22873,            0.050473,            0.014553,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.052296,            0.058848,                   0,             0.65856,             0.68445,             0.67863,             0.25707,            0.049874,            0.013834,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.052863,            0.064691,                   0,             0.64484,             0.70968,             0.67762,             0.25024,            0.050779,            0.014309,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.050271,            0.063089,                   0,             0.67991,             0.72581,             0.66198,             0.25596,             0.05063,            0.013815,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.050424,            0.059237,                   0,             0.64489,             0.66129,             0.60152,             0.25396,            0.051645,            0.013685,                   0,            0.005149,            0.005149,            0.005149
                 100,             0.05018,             0.05946,                   0,             0.67086,             0.72581,             0.65713,             0.26529,            0.050134,            0.013489,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.052077,            0.055498,                   0,             0.66591,             0.77158,              0.6707,             0.25675,            0.050472,            0.013308,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.049942,            0.057301,                   0,             0.68762,             0.79032,             0.70896,             0.28503,            0.048773,            0.013199,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.051498,            0.053441,                   0,             0.71091,             0.79032,             0.76036,             0.32675,            0.047471,            0.013094,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.052456,            0.062465,                   0,             0.66258,             0.72848,             0.70743,             0.28177,             0.04903,            0.013536,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.050407,             0.05849,                   0,             0.57506,             0.69851,             0.58047,             0.22074,            0.050126,            0.015062,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.051279,             0.05728,                   0,             0.69343,             0.62903,             0.63655,             0.24125,            0.049528,            0.014248,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.052206,            0.059918,                   0,             0.68395,             0.72581,             0.67248,              0.2833,            0.047885,            0.013641,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.051374,            0.058218,                   0,             0.66974,             0.68695,             0.66855,              0.2843,            0.049231,            0.013453,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.052157,            0.056872,                   0,             0.65918,             0.74873,             0.69374,             0.26814,            0.049442,            0.013885,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.052128,            0.059509,                   0,              0.6667,             0.69355,             0.69168,             0.28262,            0.049016,            0.014696,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.049058,            0.058895,                   0,             0.75445,             0.67742,             0.70162,             0.27528,            0.048589,            0.013966,                   0,            0.004555,            0.004555,            0.004555
                 112,             0.04826,            0.058812,                   0,             0.64022,             0.71757,             0.68327,             0.27932,            0.048058,            0.014067,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.049961,            0.054209,                   0,              0.7267,             0.60047,             0.65221,              0.2677,            0.048158,            0.014545,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.051268,             0.06188,                   0,             0.70995,             0.66129,             0.71064,             0.28162,            0.047263,            0.014275,                   0,           0.0044065,           0.0044065,           0.0044065
